ID,Wordform_ID,Example_ID,Index,Parameter_ID
convcosnoind-4-0,tototon-non-indian-pl,convcosnoind-4,0,
convcosnoind-4-1,yoti-lk-meat-pert,convcosnoind-4,1,
convcosnoind-4-2,ti-hsy,convcosnoind-4,2,
convcosnoind-5-0,aaa-ah,convcosnoind-5,0,
convcosnoind-5-1,tewi-3pro,convcosnoind-5,1,
convcosnoind-5-2,yoti-lk-meat-pert,convcosnoind-5,2,
convcosnoind-5-4,warai-like,convcosnoind-5,4,
convcosnoind-5-6,warai-like,convcosnoind-5,6,
convcosnoind-5-8,ta-say-acnnmlz,convcosnoind-5,8,
convcosnoind-12-2,pirare-neg-exist,convcosnoind-12,2,
convcosnoind-12-4,nwa-thus,convcosnoind-12,4,
convcosnoind-12-5,re-emp,convcosnoind-12,5,
convcosnoind-12-7,ma-rst,convcosnoind-12,7,
convcosnoind-13-2,ma-rst,convcosnoind-13,2,
convcosnoind-48-0,eni-prox-inan,convcosnoind-48,0,
convcosnoind-48-1,taki-cnfrm,convcosnoind-48,1,
convcosnoind-48-3,ne-ints,convcosnoind-48,3,
convcosnoind-52-0,toto-non-indian,convcosnoind-52,0,
convcosnoind-52-1,yoti-lk-meat-pert,convcosnoind-52,1,
convcosnoind-52-2,tajtoj-say-circ-nmlz,convcosnoind-52,2,
convcosnoind-126-1,ke-ins,convcosnoind-126,1,
convcosnoind-126-2,ejne-1-2pro,convcosnoind-126,2,
convcosnoind-126-3,yoti-lk-meat-pert,convcosnoind-126,3,
convcosnoind-126-4,yamane-make-ipfv,convcosnoind-126,4,
convcosnoind-126-5,wejsape-cop-pfv,convcosnoind-126,5,
convcosnoind-126-6,tewi-3pro,convcosnoind-126,6,
convcosnoind-132-0,tewi-3pro,convcosnoind-132,0,
convcosnoind-132-1,ya-erg,convcosnoind-132,1,
convcosnoind-132-2,nepijpe-bring-pst,convcosnoind-132,2,
convcosnoind-132-3,wejsape-cop-pfv,convcosnoind-132,3,
convestsjm-3-1,neke-cntr,convestsjm-3,1,
convestsjm-3-2,ne-ints,convestsjm-3,2,
convestsjm-3-4,taki-cnfrm,convestsjm-3,4,
convestsjm-35-0,ente-here-loc,convestsjm-35,0,
convestsjm-35-1,ma-rst,convestsjm-35,1,
convestsjm-35-2,teijpo-far,convestsjm-35,2,
convestsjm-35-3,jra-neg,convestsjm-35,3,
convrisamaj-1-0,ati-what,convrisamaj-1,0,
convrisamaj-1-1,re-emp,convrisamaj-1,1,
convrisamaj-1-2,warai-like,convrisamaj-1,2,
convrisamaj-1-3,mere-2pro,convrisamaj-1,3,
convrisamaj-1-4,iniri-see-ipfv,convrisamaj-1,4,
convrisamaj-1-5,irejpe-then,convrisamaj-1,5,
convrisamaj-1-6,meyarika-2-laugh-ipfv,convrisamaj-1,6,
convrisamaj-1-7,ti-hsy,convrisamaj-1,7,
convrisamaj-2-0,meyaruwari-2-laugh-ipfv,convrisamaj-2,0,
convrisamaj-2-1,mepekepene-2-alone,convrisamaj-2,1,
convrisamaj-4-0,wire-1pro,convrisamaj-4,0,
convrisamaj-4-1,yaruwari-laugh-ipfv,convrisamaj-4,1,
convrisamaj-4-2,jra-neg,convrisamaj-4,2,
convrisamaj-6-0,kwase-how,convrisamaj-6,0,
convrisamaj-6-1,ejne-1-2pro,convrisamaj-6,1,
convrisamaj-6-2,yaruwari-laugh-ipfv,convrisamaj-6,2,
convrisamaj-12-0,ati-what,convrisamaj-12,0,
convrisamaj-12-1,ejne-1-2pro,convrisamaj-12,1,
convrisamaj-12-2,yaruwari-laugh-ipfv,convrisamaj-12,2,
convrisamaj-24-0,wire-1pro,convrisamaj-24,0,
convrisamaj-24-1,wajyakiti-be-happy-ipfv,convrisamaj-24,1,
convrisamaj-24-2,jra-neg,convrisamaj-24,2,
convrisamaj-24-3,taro-say-ipfv,convrisamaj-24,3,
convrisamaj-24-4,wire-1pro,convrisamaj-24,4,
convrisamaj-24-5,ta-say-ipfv,convrisamaj-24,5,
convrisamaj-24-6,wire-1pro,convrisamaj-24,6,
convrisamaj-24-7,ya-erg,convrisamaj-24,7,
convrisamaj-28-0,uyiwij-1-lk-house-pert,convrisamaj-28,0,
convrisamaj-28-1,yawe-loc,convrisamaj-28,1,
convrisamaj-28-2,usenejkari-1-stay-ipfv,convrisamaj-28,2,
convrisamaj-28-3,sukuri-silently,convrisamaj-28,3,
convrisamaj-44-0,wire-1pro,convrisamaj-44,0,
convrisamaj-44-1,inija-see-neg,convrisamaj-44,1,
convrisamaj-44-2,ta-like,convrisamaj-44,2,
convrisamaj-44-3,re-emp,convrisamaj-44,3,
convrisamaj-46-0,uyare-1-alone,convrisamaj-46,0,
convrisamaj-46-1,wire-1pro,convrisamaj-46,1,
convrisamaj-46-2,peremekiri-talk-ipfv,convrisamaj-46,2,
convrisamaj-47-0,aniki-who,convrisamaj-47,0,
convrisamaj-47-1,narepe-part,convrisamaj-47,1,
convrisamaj-47-2,yakere-lk-with,convrisamaj-47,2,
convrisamaj-47-3,ejne-1-2pro,convrisamaj-47,3,
convrisamaj-47-4,peremekiri-talk-ipfv,convrisamaj-47,4,
convrisamaj-47-5,ejne-1-2pro,convrisamaj-47,5,
convrisamaj-47-6,pekepene-alone,convrisamaj-47,6,
convrisamaj-47-7,wanene-aunt,convrisamaj-47,7,
convfemgrme-1-0,najmo-grandmother,convfemgrme-1,0,
convfemgrme-1-1,pano-fmr,convfemgrme-1,1,
convfemgrme-1-2,yakaramapetiri-tell-plur-ipfv,convfemgrme-1,2,
convfemgrme-2-0,nwa-thus,convfemgrme-2,0,
convfemgrme-2-2,ti-hsy,convfemgrme-2,2,
convfemgrme-2-6,yeneni-eat-meat-agtnmlz,convfemgrme-2,6,
convfemgrme-4-0,awata-surp,convfemgrme-4,0,
convfemgrme-4-2,neke-cntr,convfemgrme-4,2,
convfemgrme-4-3,ne-ints,convfemgrme-4,3,
convfemgrme-4-4,takono-other,convfemgrme-4,4,
convfemgrme-9-0,waraijto-husband,convfemgrme-9,0,
convfemgrme-9-1,jra-neg,convfemgrme-9,1,
convfemgrme-9-3,chi-cop-ipfv,convfemgrme-9,3,
convfemgrme-9-4,wejsape-cop-pfv,convfemgrme-9,4,
convfemgrme-11-0,ekejna-where-nmlz,convfemgrme-11,0,
convfemgrme-11-1,neke-cntr,convfemgrme-11,1,
convfemgrme-11-2,waraijto-husband,convfemgrme-11,2,
convfemgrme-11-3,ijtese-3-go-pst,convfemgrme-11,3,
convfemgrme-15-0,surukupi-fish-sp,convfemgrme-15,0,
convfemgrme-15-2,tuna-water,convfemgrme-15,2,
convfemgrme-15-3,yaka-all,convfemgrme-15,3,
convfemgrme-15-4,ta-say-ipfv,convfemgrme-15,4,
convfemgrme-15-5,ti-hsy,convfemgrme-15,5,
convfemgrme-15-6,ta-like,convfemgrme-15,6,
convfemgrme-18-0,e-e-yes,convfemgrme-18,0,
convfemgrme-18-1,mai-lets-go,convfemgrme-18,1,
convfemgrme-18-2,se-eval,convfemgrme-18,2,
convfemgrme-18-4,chipeke-because,convfemgrme-18,4,
convfemgrme-21-0,tejta-hollow,convfemgrme-21,0,
convfemgrme-21-1,yawe-loc,convfemgrme-21,1,
convfemgrme-21-2,ta-say-ipfv,convfemgrme-21,2,
convfemgrme-21-3,ta-like,convfemgrme-21,3,
convfemgrme-23-0,mukupijke-child-dim,convfemgrme-23,0,
convfemgrme-23-2,ne-ints,convfemgrme-23,2,
convfemgrme-29-0,wire-1pro,convfemgrme-29,0,
convfemgrme-29-1,yapejtane-grab-cncs,convfemgrme-29,1,
convfemgrme-29-3,tatase-3p-say-pst,convfemgrme-29,3,
convfemgrme-43-1,wa-thus,convfemgrme-43,1,
convfemgrme-43-2,re-emp,convfemgrme-43,2,
convfemgrme-43-3,meyenetojpano-2-eat-meat-fut-concl,convfemgrme-43,3,
convfemgrme-43-5,uyakere-1-lk-with,convfemgrme-43,5,
convfemgrme-43-7,wepiri-come-ipfv,convfemgrme-43,7,
convfemgrme-99-0,tawara-too,convfemgrme-99,0,
convfemgrme-99-3,minte-there-loc,convfemgrme-99,3,
convfemgrme-99-6,ana-1-3pro,convfemgrme-99,6,
convfemgrme-99-7,chi-cop-acnnmlz,convfemgrme-99,7,
convfemgrme-99-8,yawe-loc,convfemgrme-99,8,
convfemgrme-99-9,minte-there-loc,convfemgrme-99,9,
convfemgrme-113-0,e-e-yes,convfemgrme-113,0,
convfemgrme-113-1,tawara-too,convfemgrme-113,1,
convfemgrme-113-2,taki-cnfrm,convfemgrme-113,2,
convfemgrme-113-4,tewi-3pro,convfemgrme-113,4,
convfemgrme-157-0,minte-there-loc,convfemgrme-157,0,
convfemgrme-157-2,ana-1-3pro,convfemgrme-157,2,
convfemgrme-157-3,chi-cop-acnnmlz,convfemgrme-157,3,
convfemgrme-157-4,yawe-loc,convfemgrme-157,4,
convfemgrme-183-1,wire-1pro,convfemgrme-183,1,
convfemgrme-183-2,winikiri-sleep-ipfv,convfemgrme-183,2,
convfemgrme-183-3,jra-neg,convfemgrme-183,3,
convfemgrme-217-0,iyawe-3-loc,convfemgrme-217,0,
